date,symbol,gap_percentage,previous_close,open,high,low,close,volume,dollar_change
2023-07-25 04:00:00+00:00,OCX,1982.07,0.2,4.11,4.64,3.89,4.12,111538,3.91
2023-11-30 05:00:00+00:00,CING,1970.97,0.31,6.42,6.8,5.16,6.27,104302,6.11
2024-02-02 05:00:00+00:00,CAMP,1964.1,0.16,3.22,3.59,2.8,3.09,173019,3.06
2024-10-28 04:00:00+00:00,SVRE,1944.61,0.08,1.65,1.96,1.51,1.79,1321604,1.57
2023-06-08 04:00:00+00:00,OP,1941.97,0.2,3.99,4.14,3.5,3.81,106114,3.79
2024-01-25 05:00:00+00:00,KAVL,1919.87,0.15,3.05,3.05,2.5,2.67,103812,2.9
2023-10-13 04:00:00+00:00,MSPR,1915.27,0.13,2.64,2.75,1.68,2.17,986202,2.51
2024-11-14 05:00:00+00:00,INM,1909.47,0.23,4.67,5.41,4.14,5.08,201484,4.44
2024-04-09 04:00:00+00:00,ALLR,1909.3,0.21,4.32,5.09,3.5,3.59,909818,4.11
2024-12-13 05:00:00+00:00,MLGO,1907.75,0.13,2.59,3.84,2.35,2.35,8996567,2.46
2023-07-24 04:00:00+00:00,BJDX,1907.28,0.3,6.07,13.98,5.9,8.61,8322067,5.77
2024-11-26 05:00:00+00:00,MSOX,1900.3,0.67,13.5,14.82,12.56,13.9,368786,12.83
2023-04-24 04:00:00+00:00,LGMK,1900.0,0.13,2.52,2.52,2.07,2.32,394036,2.39
2024-01-02 05:00:00+00:00,KTTA,1900.0,0.37,7.4,8.5,7.01,8.05,113644,7.03
2023-05-16 04:00:00+00:00,CYCN,1897.91,0.19,3.82,5.99,3.8,5.38,769644,3.63
2024-12-13 05:00:00+00:00,BLUE,1889.47,0.38,7.56,7.56,6.26,6.34,720970,7.18
2024-04-24 04:00:00+00:00,CDTX,1886.34,0.51,10.18,12.59,10.11,12.29,326436,9.67
2023-09-22 04:00:00+00:00,NTRP,1884.09,0.2,3.99,4.44,3.71,3.98,404802,3.79
2024-03-14 04:00:00+00:00,OTLK,1883.91,0.32,6.41,6.73,5.04,5.73,570024,6.09
2023-06-09 04:00:00+00:00,FLGC,1879.45,0.18,3.66,4.28,3.52,3.64,107153,3.48
2023-06-26 04:00:00+00:00,SKLZ,1876.65,0.47,9.31,9.38,8.2,8.41,1335292,8.84
2023-02-08 05:00:00+00:00,DGLY,1873.15,0.3,5.88,5.88,5.2,5.35,173691,5.58
2023-05-15 04:00:00+00:00,EAST,1870.18,0.19,3.7,5.1,3.49,4.84,231108,3.51
2023-12-04 05:00:00+00:00,LABU,1868.79,4.2,82.69,89.03,81.7,88.22,2778854,78.49
2023-06-09 04:00:00+00:00,CNVS,1859.56,0.26,5.04,5.12,4.0,4.04,501700,4.78
2024-07-11 04:00:00+00:00,AMWL,1858.55,0.33,6.52,8.85,6.01,8.16,272561,6.19
2024-04-05 04:00:00+00:00,EDBL,1852.38,0.42,8.2,11.99,7.3,7.7,476289,7.78
2024-11-04 05:00:00+00:00,YANG,1848.08,3.64,70.91,71.76,68.85,71.76,565509,67.27
2024-08-27 04:00:00+00:00,QMCO,1845.23,0.21,4.12,4.12,3.48,3.85,111387,3.91
2023-05-23 04:00:00+00:00,RNAZ,1843.52,0.27,5.23,7.74,5.23,6.19,285010,4.96
2024-08-30 04:00:00+00:00,SNOA,1839.74,0.16,3.09,3.89,2.95,3.3,206684,2.93
2023-10-27 04:00:00+00:00,VVOS,1836.73,0.26,5.02,5.02,3.59,4.32,194438,4.76
2023-08-10 04:00:00+00:00,LTRY,1832.83,0.28,5.41,5.84,4.51,5.25,400364,5.13
2024-11-05 05:00:00+00:00,AQMS,1828.0,0.12,2.41,2.64,2.2,2.48,135809,2.29
2024-12-24 05:00:00+00:00,GOEV,1824.05,0.08,1.52,1.57,1.37,1.47,2454694,1.44
2024-10-16 04:00:00+00:00,STSS,1816.55,0.14,2.71,3.27,2.71,3.24,132439,2.57
2024-07-11 04:00:00+00:00,CLNN,1807.47,0.28,5.36,5.89,4.59,5.08,277680,5.08
2024-09-05 04:00:00+00:00,BIRD,1801.77,0.57,10.88,11.4,9.69,9.69,153596,10.31
2023-01-18 05:00:00+00:00,JFU,1801.55,0.19,3.67,4.4,3.6,4.13,126676,3.48
2023-06-23 04:00:00+00:00,BOIL,1801.23,3.26,61.98,72.75,61.74,71.7,3366394,58.72
2024-04-25 04:00:00+00:00,APDN,1801.17,0.24,4.54,5.07,4.07,5.0,102239,4.3
2024-04-12 04:00:00+00:00,AGEN,1800.79,0.44,8.43,8.86,7.02,8.15,1399653,7.99
2024-11-08 05:00:00+00:00,XHG,1793.08,0.11,2.16,2.49,1.84,2.0,251665,2.05
2024-07-01 04:00:00+00:00,RELI,1783.29,0.23,4.26,4.98,3.73,4.66,1891591,4.03
2023-11-29 05:00:00+00:00,IBIO,1775.0,0.2,3.75,4.49,3.5,3.91,150614,3.55
2024-02-09 05:00:00+00:00,UAVS,1770.6,0.07,1.33,1.43,1.25,1.32,413520,1.26
2023-09-22 04:00:00+00:00,PRPO,1770.29,0.27,4.96,6.35,4.75,5.6,169477,4.69
2024-10-16 04:00:00+00:00,ME,1765.98,0.27,5.04,5.5,5.0,5.34,573019,4.77
2024-09-16 04:00:00+00:00,ISPC,1751.66,0.19,3.57,4.9,3.41,4.47,519301,3.38
2023-09-28 04:00:00+00:00,XWEL,1750.33,0.12,2.25,2.43,2.09,2.17,137711,2.13
2024-12-16 05:00:00+00:00,MSTZ,1743.95,0.84,15.55,17.03,14.49,16.83,17488086,14.71
2023-04-24 04:00:00+00:00,POAI,1743.93,0.19,3.45,3.57,3.16,3.23,158760,3.26
2023-07-05 04:00:00+00:00,AGFY,1743.58,0.18,3.3,3.45,3.04,3.29,141741,3.12
2024-08-08 04:00:00+00:00,SBFM,1741.42,0.15,2.81,3.05,2.42,2.97,423711,2.66
2023-08-16 04:00:00+00:00,WATT,1722.43,0.17,3.12,3.15,2.2,2.22,528060,2.95
2024-07-18 04:00:00+00:00,LUCY,1720.14,0.37,6.76,7.59,5.77,6.2,582174,6.39
2023-04-17 04:00:00+00:00,MEIP,1711.75,0.24,4.35,5.22,4.3,4.97,208947,4.11
